signal_date,n,ic,rank_ic
20251111,5227,-0.03087891162226503,-0.06542056351481502
20251112,5232,-0.008763334498744836,0.0651449961015758
20251113,5232,-0.10128439729985245,-0.08475634964874283
20251114,5233,-0.08473206682720401,-0.0442652551222113
20251117,5236,-0.0034647203822267907,0.023905764910274536
20251118,5239,0.026923878895345175,0.07515834107968042
20251119,5247,0.03490420712780499,0.04945093703443088
20251120,5251,-0.10530737203791067,-0.14712726746007537
20251121,5254,-0.11429147219020455,-0.05950590691080204
20251124,5255,0.05703474749974664,0.1101183026558389
20251125,5255,0.02701710281198093,0.03189005494117748
20251126,5253,0.03685938292510228,0.07974023397465617
20251127,5254,0.0356761860532142,0.06363682497981636
20251128,5257,0.07094428247414078,0.16263892758136747
20251201,5256,-0.024375802665945957,-0.005481246414506903
20251202,5262,-0.026545952503588183,-0.051580470792234566
20251203,5267,0.061360673020293,0.08294788460085943
20251204,5267,0.05960352724620809,0.11148063471106562
20251205,5266,-0.04888075594310601,-0.030907704127869546
20251208,5271,-0.06937487878370915,-0.0371913550022411
20251209,5274,0.0269326865564526,0.0850204810802004
20251210,5271,0.05688666290950392,0.05723308571670187
20251211,5275,-0.07933529396180615,-0.08968326507345263
20251212,5277,0.004550196714923889,0.06756803901677859
20251215,5278,-0.05678658521683508,-0.08308183228784295
20251216,5279,0.11263880745007755,0.20224483864469028
20251217,5279,-0.01604504530705469,0.038837342591573114
20251218,5282,-0.02942652340774415,-0.03190400957109979
20251219,5283,0.10935363322033088,0.2052884750409741
20251222,5279,-0.015242212738876906,0.044898726277005856
20251223,5284,0.06771840080582217,0.03578287132164723
20251224,5286,-0.02329289609948027,-0.037262905568592866
20251225,5290,-0.004696544333843304,0.06788204693995109
20251226,5289,0.03028491250231952,0.02684408143412804
20251229,5291,-0.034912140645020136,0.004062832104695713
20251230,5293,-0.04672792454709825,0.0232817520471537
20251231,5293,0.018679559198958657,0.06544779763694115
20260105,5294,-0.04280658618631506,0.011689510144804939
20260106,5297,0.058591145534813656,0.0760836701948271
20260107,5301,-0.011829393360459657,0.06598578327273469
20260108,5304,-0.07435450624547472,-0.056954871289759
20260109,5305,-0.1471265491395748,-0.19200444967215738
20260112,5307,0.01765979847620046,0.1351168416117267
20260113,5303,-0.05267014571719331,0.0046315237406224724
20260114,5308,0.09013344089021334,0.1285000009364626
20260115,5312,-0.05794484511584216,-0.032415063447834104
20260116,5316,-0.06333572197989698,-0.05571790049776774
20260119,5321,-0.10673780554770694,-0.15543019346987533
20260120,5329,0.032527996358949464,0.1094142419133888
20260121,5327,-0.0021864075993505813,0.04956930388200929
20260122,5331,-0.030856426893816753,0.06944051293426291
20260123,5335,0.06024031179964193,0.07689436145518033
20260126,5334,0.09848253483677245,0.23421394336651252
20260127,5336,-0.015869646476256036,0.008152891876982645
20260128,5338,-0.11324861971795983,-0.15699492764968304
20260129,5339,0.1476959247143913,0.184227040555178
20260130,5340,-0.04789552763968745,-0.05534179042210241
20260202,5344,0.06596527080610418,0.15319601634245592
20260203,5346,-0.051230929377130696,0.016785652923295456
20260204,5354,-0.0499024305213363,-0.06322041935626485
20260205,5353,0.06916162958029559,0.13645590737641522
20260206,5352,0.09430381346863226,0.15911963888051714
